"","a_schema R_value","a_schema p.adj","h_schema R_value","h_schema p.adj","Beta_N R_value","Beta_N p.adj","Beta_Var R_value","Beta_Var p.adj","a_generic R_value","a_generic p.adj","h_generic R_value","h_generic p.adj","Beta_gN R_value","Beta_gN p.adj","Beta_gVar R_value","Beta_gVar p.adj","decay_speed R_value","decay_speed p.adj","decay_speed_thres R_value","decay_speed_thres p.adj","thres_schema_init R_value","thres_schema_init p.adj","thres_item_inter R_value","thres_item_inter p.adj","thres_item_final R_value","thres_item_final p.adj","timevar R_value","timevar p.adj","theta_shift R_value","theta_shift p.adj"
"RT_1",0.294011810219235,1,0.0491083197842011,1,0.378624545349505,1,0.103014959574268,1,-0.42529664723147,0.928263806124915,0.0491083197842011,1,-0.173519493059866,1,-0.236016808799204,1,0.221166802230438,1,0.490081972079035,0.434040627505546,0.655763356057777,0.0224759197382533,-0.23985884121837,1,-0.121149630876744,1,-0.163123580482981,1,0.549993857921335,0.137090633610113
"RT_2",-0.332617122964844,1,0.067346329911978,1,-0.142748132095578,1,0.0209126889302819,1,-0.256978649387877,1,0.067346329911978,1,0.0131486777674789,1,0.35468307662395,1,-0.140845934349396,1,0.26771448347997,1,-0.221044137908539,1,0.347638081682389,1,-0.293511878797135,1,-0.172374022677953,1,0.109365478159546,1
"RT_3",0.205997550538152,1,-0.110112297488333,1,-0.311523884585623,1,-0.201005759405745,1,0.0650198690322292,1,-0.110112297488333,1,0.0164601409352318,1,0.121018765446636,1,-0.189204142891062,1,0.254718753322996,1,-0.35552760873625,1,-0.105802166256164,1,-0.084065260476727,1,-0.0823596695721233,1,0.0136462681163243,1
"RT_4",0.228028547470398,1,-0.0997029508783385,1,0.0557541826446051,1,0.198920797103494,1,0.244588563983283,1,-0.0997029508783385,1,0.149647126602491,1,0.214079582160325,1,0.178876744878792,1,0.266119491588812,1,-0.0586834710011497,1,-0.0994445145480256,1,0.473496916983834,0.542676220647064,-0.386306022187038,1,-0.270018981655159,1
"OB_1",-0.326748765786556,1,-0.141338705320002,1,-0.344381159109099,1,0.0590839156700804,1,-0.369939042806357,1,-0.141338705320002,1,-0.0982617453266252,1,-0.0279933385273316,1,0.0113875878880874,1,-0.255395038441215,1,0.446740309276323,0.677289809548203,-0.114994191179007,1,-0.530483168195599,0.253895687045648,-0.687759100257666,0.00545484367967538,-0.51012530392275,0.235904830526826
"OB_2",-0.103233789232057,1,-0.13187846574201,1,-0.0857852689156557,1,0.0357608551296199,1,-0.314072809300603,1,-0.13187846574201,1,-0.309624664246145,1,0.412035687094063,1,-0.234146309388335,1,-0.0335464490256794,1,-0.0571800897078095,1,-0.208810160897789,1,-0.0746716822004801,1,-0.277282730161333,1,-0.003314053598886,1
"OB_3",-0.201602086813491,1,-0.23980482487576,1,-0.277603808548972,1,-0.229155533980761,1,-0.252690160422505,1,-0.23980482487576,1,-0.249339482766269,1,-0.0766291050564564,1,0.124877206638781,1,-0.204334591699649,1,-0.453200078860179,0.6645204632962,-0.262726665894659,1,-0.0777258846094554,1,-0.146887121629929,1,-0.457179078798423,0.446297105522459
"OB_4",-0.0616613480779168,1,0.0912399226655774,1,0.105515349610142,1,-0.143394276024408,1,0.341680636079823,1,0.0912399226655774,1,-0.322171804455453,1,0.0647633976298228,1,0.219452007434018,1,0.161056182011833,1,-0.323873145738376,1,0.123514701261116,1,0.43300806060808,0.798583922789822,-0.465202698934695,0.455363653608398,-0.7307383192273,0.00269441429702206
"AS_1",0.284565842393853,1,0.0112198977861435,1,0.351383547263886,1,0.0649197493890393,1,-0.437595389020639,0.850882733663102,0.0112198977861435,1,-0.176476607498897,1,-0.27784082729914,1,0.213480846496752,1,0.47460214732761,0.505116277784424,0.663467642332654,0.0198050086615584,-0.269792744783055,1,-0.176580330970777,1,-0.169936711494609,1,0.155806464937365,1
"AS_2",-0.346996329292302,1,0.0204027365096926,1,-0.149010243440848,1,0.0150898610739906,1,-0.278775162183564,1,0.0204027365096926,1,0.000488237166901082,1,0.352926812420024,1,-0.14531193562981,1,0.264010814237284,1,-0.220994545348022,1,0.322767444845245,1,-0.303088593358461,1,-0.154160587821372,1,-0.0612589342899789,1
"AS_3",0.18960420962885,1,-0.0917606098692815,1,-0.320233526855607,1,-0.207284052864648,1,0.0156606833266037,1,-0.0917606098692815,1,0.000512982926288726,1,0.0765200965265698,1,-0.206799447083276,1,0.249762732729449,1,-0.386711848126985,1,-0.123168889937252,1,-0.0871475079855805,1,-0.105669064117843,1,-0.122602388431307,1
"AS_4",0.146003449275897,1,-0.102039376430089,1,0.0105824533477161,1,0.171668320809044,1,0.24454137047458,1,-0.102039376430089,1,0.0512210829694828,1,0.18188479030914,1,0.181627823364144,1,0.25587937544084,1,-0.0648174111685514,1,-0.149619021038276,1,0.457526160363386,0.629498825994451,-0.402344632374404,0.969007793288263,-0.43689853293747,0.524317603823489
"schema_payoff",0.0770106369961185,1,0.23718721499934,1,0.334271232091907,1,0.177788088835035,1,-0.100977639496401,1,0.23718721499934,1,0.00272232753240206,1,-0.193722286065784,1,-0.0176379065752968,1,-0.155503851050003,1,0.00801802816507804,1,-0.0752541644677996,1,-0.224835335589098,1,0.230202352227606,1,0.151752364940258,1
"AC",0.209354499471135,1,0.0564467115471192,1,0.0253412231325168,1,-0.0609836721136306,1,0.472671325360638,0.579074610946298,0.0564467115471192,1,0.0475631566988263,1,-0.055474445110906,1,0.0288283179037621,1,0.331871361968634,1,0.379395262381116,1,0.128689157085247,1,0.376604628638813,1,0.236578513238026,1,-0.090849262609811,1
"performance",0.0824666654284418,1,0.33390935635455,1,0.295145916582486,1,-0.0146694482416719,1,0.226912172149457,1,0.33390935635455,1,0.109069341326872,1,-0.154616156469399,1,0.00720891958744832,1,0.225427386137527,1,0.227256195063766,1,-0.0428809612192073,1,0.137014514736802,1,0.395853818905229,0.984205475870909,-0.0109168721302932,1
"dwellmean_1",0.148634865117203,1,0.480793771088755,0.519870421306198,0.66580300578755,0.0177455147779819,0.54247515944358,0.210180760749268,-0.0123414749494823,1,0.480793771088755,0.519870421306198,-0.0452068920842568,1,0.223856018289963,1,0.405428686253082,1,0.625707833061737,0.0458843441965032,0.385622850447502,1,0.333574917216518,1,0.427385287733485,0.799512004714219,0.194859720078306,1,0.908253213864556,2.41968967546314e-07
"dwellmean_2",-0.00531084250210526,1,0.235998914257661,1,-0.164520150041811,1,0.0124407278800948,1,0.36417266904432,1,0.235998914257661,1,0.269203924310003,1,-0.03908571894518,1,0.0831559011849387,1,-0.122706701343746,1,-0.0943219957570738,1,0.0838545032039363,1,0.187407273532294,1,-0.11556876361255,1,0.673586654381414,0.0122384356411168
"dwellmean_3",0.36679347106049,1,-0.349120778166308,1,-0.117979603469634,1,-0.195218834578772,1,0.0148827037938316,1,-0.349120778166308,1,0.332037531463839,1,0.24883530629344,1,0.0293503912021825,1,-0.200770921365266,1,-0.0736393001602117,1,-0.341080791660005,1,0.183108772322499,1,0.217093902132108,1,0.744381234985963,0.00185280733523768
"dwellmean_4",0.564765119165564,0.145223615795839,-0.00338372222130912,1,0.668096733382457,0.0177253583553164,0.236758236338076,1,0.317117610027619,1,-0.00338372222130912,1,0.0775084549593072,1,0.167306064453901,1,0.165060587579774,1,0.225482114851116,1,0.0458475945544288,1,0.218034556283292,1,0.123653826551231,1,0.0941985192148586,1,0.74684847643892,0.00180819087733459
